3	4594700	1450	1655	2
0	60491	48	0	1
7	3568156	414	10	1
0	3626269	1071	0	1
-21	2049774	211	2776	1
-19	3103669	856	6817	0
0	267532	17	1	1
11	3304533	554	1026	0
-122	1881663	184	30530	0
0	1015295	570	2359	1
33	4842282	1690	0	2
50	21616	3	3605	2
0	1026603	18	1	1
0	4140784	995	8	1
4	80715	13	1448	1
29	362921	20	69362	2
0	3277346	245	51	1
0	4540245	292	2	1
-4	2126576	93	6	2
-1	1550920	111	4827	1
0	2160018	414	1	1
92	603285	99	1135	2
17	841586	133	10766	2
3	4046062	445	330119	1
766	341200	14	125	2
0	451144	297	16	1
4	375877	30	59207	1
1	2746367	164	18	1
35	1817284	957	234	0
-2	2477483	601	615	1
15	5061823	1659	0	1
0	1248513	870	366	0
0	554577	314	2	1
1	5094963	1746	0	2
129	66404	49	326	0
-3	2773497	805	34	0
120	133239	32	416	2
0	4190568	1070	16	1
0	4938775	25	5	1
52	2389126	413	1299	2
8	2658779	269	30	1
86	11752	9	770	0
0	942685	27	2285	1
0	412018	50	3	1
0	70958	51	6	2
0	1949684	164	1	1
-2	1098766	18	291855	2
0	256977	108	1	1
7	261528	34	2538	0
-14	413626	148	84	0
0	982268	64	152758	1
0	891769	88	1378	1
0	483839	69	270	1
-4	2054185	104	63275	0
1	1500419	59	2	1
5	2837045	157	8867	2
-17	5120532	1770	0	1
-1	2723497	113	1	1
117	145382	5	52177	2
0	287657	166	2	1
0	287757	236	1464	1
7	0	0		2
0	1117591	281	10119	0
16	875397	21	15561	1
290	1062872	492	9950	2
1	728090	95	1350	1
0	4163059	38	1575	1
0	1643281	273	2	1
-14	2341753	797	128	0
-10	3530907	1120	4391	0
0	2612173	327	5	0
-6	286639	24	186	2
14	4616433	353	28199	0
4	959097	145	1436	0
-30	4603065	1452	0	0
4	1188212	373	168	2
0	2443769	285	17	1
0	2170408	166	4	1
0	3752842	192	21	1
0	2518752	445	192	1
0	953131	72	5575	1
10	1569842	269	132	2
30	146978	35	6764	2
-2	393045	5	1	1
-39	405568	47	45	0
0	412939	149	2	1
3	2008745	525	165	2
-5	1840442	179	0	0
0	563237	354	250	1
5	4691446	406	1	0
-3	2112938	74	0	0
-2	491071	80	14327	2
10	3891950	1160	144	0
4	244383	87	12221	1
-2	584854	273	2627	1
0	90855	88	8	1
160	1647053	420	308	2
39	3389816	204	82	2
31	128171	18	7463	2
6	30538	5	1156	1
1	1968450	126	47	2
21	385221	171	644	2
-55	1214554	296	4982	2
-8	5753023	2045	0	1
0	593868	119	0	1
0	2430866	893	1270	1
0	5188960	1794	9682	1
15	272148	95	4775	0
0	2614185	682	3447	1
0	815683	11	231069	1
163	23889	2	2365	2
3	1620049	527	0	1
6	322453	271	128	1
-13	511583	3	0	2
14	631751	104	542	0
8	0	0		2
44	357184	418	4298	2
16	849779	464	58	0
24	312758	221	343	2
-38	1268852	499	4	1
2	283543	30	3118	1
-6	1954180	104	35	1
-9	5777293	179	226306	0
18	413765	10	21636	2
28	4446442	1363	1496	1
18	1611288	471	46	2
0	1037482	168	24768	1
0	267539	181	1	1
0	1329077	329	829	1
-4	1412186	172	3	1
15	3412221	1290	4	1
0	1597096	368	27	1
13	3394089	592	61	1
60	1876654	667	3387	2
0	4029230	211	2	1
4	927572	73	2852	1
0	694699	142	65	1
4	1294842	52	36416	1
0	1707886	82	0	1
4	3379690	198	740	1
7	0	0		2
45	232153	106	248	2
-49	1676066	247	631	0
4	4092627	1262	452	2
0	625245	512	67	2
225	1584374	287	0	2
0	2397862	179	19	0
0	1983379	114	3	1
630	2712626	379	1199	2
0	1033914	102	1	1
8	3724242	1226	1764	2
0	4138332	16	279881	1
-3	27487	66	70	0
-14	445189	162	164	2
5	63354	37	1322	1
0	4774898	1499	5756	1
15	1050204	87	1395	2
5	667623	89	105769	2
24	86410	147	703	2
6	2544634	630	1433	1
24	4522930	1393	7443	2
-1	705840	307	1175	2
107	41849	36	1337	0
145	252669	54	225	2
0	1677566	261	1	1
0	2350039	800	7210	1
24	175859	21	25043	0
4	1677417	138	70610	2
9	421223	133	18	1
0	3269894	213	161013	1
-55	848153	92	1432	0
0	592266	50	86	1
-4	4014864	1225	254	0
0	2741883	114	1	1
281	21523	1	21523	2
-2	5757771	1872	17957	0
0	68480	39	12	1
17	4024466	1232	116	2
0	43696	2	0	1
-2	132877	5	2	2
0	6700617	596	18970	1
114	0	0		0
0	2443146	570	7553	1
39	437470	380	2916	2
0	347121	15	7139	1
0	349639	8	51554	1
2	401851	14	3582	1
17	815904	58	3	0
26	53943	3	21353	1
12	3857385	483	316	0
0	2524580	728	10	2
6	48906	25	4017	2
8	1342320	511	5683	2
0	4176981	1560	5	1
-16	3632401	272	5	2
0	319739	92	3599	2
62	1712170	595	4019	2
54	1813509	645	4961	2
46	25349	22	10	0
0	552284	176	2356	1
0	4913481	711	0	1
0	1604341	394	1	1
22	4292350	1321	1479	1
2	698582	118	57	0
0	93925	20	300	1
0	234827	27	2953	1
0	1033913	101	2	1
23	638422	290	4665	1
0	467608	198	2303	1
0	1621899	548	1251	1
-1	3137016	840	2610	0
5	610742	100	26	0
-1	4501377	249	7370	1
-2	623916	509	46	0
43	471963	64	20	0
7	200085	17	6052	1
-1	4690771	377	0	1
0	2626940	241	8	1
12	664185	295	18822	2
9	3546539	1371	38895	0
-3	1343545	329	7478	0
0	6065179	932	606	2
0	2435259	306	38	1
1	12978	5	1640	1
0	1069465	14	20	1
-1	4971091	1573	119	0
33	1666025	76	40030	2
50	49157	8	62	2
13	2776686	889	2045	1
77	838601	5	1	0
10	1219787	407	1	0
0	513750	123	2556	1
1	2207495	117	0	1
0	2312944	297	573	1
62	2689890	314	1	2
0	540265	149	1	1
65	708073	168	1154	0
10	1421327	21	42724	0
141	934787	51	1261	2
83	832353	60	478	2
0	5523933	1983	0	1
35	1389816	691	59	2
-6	5072927	360	4	1
67	2723081	135	1	2
8	549019	355	3224	1
0	353892	95	0	1
0	91022	90	15	0
15	4237544	328	20	1
4	1597505	381	1	2
-1	4550366	351	18	0
5	2826475	795	10139	2
15	183084	25	8951	2
4	324518	193	38	2
-26	5424330	1818	5916	0
2	553379	410	18	1
15	2546778	641	1413	1
0	2547068	204	20349	1
0	6044375	903	0	1
-1	32843	24	1262	0
6	708592	76	70881	1
54	886052	362	7175	2
3	2048678	475	30	1
4	1442772	261	2809	0
11	5817081	1627	0	2
0	155656	70	6	1
0	440630	165	25	1
16	4168501	254	36	2
-37	868293	102	1428	0
19	1096109	55	156	1
30	685537	188	584	1
23	52005	6	2882	2
40	4044309	967	348	2
-60	4046130	1528	388	0
-24	4167247	47	23	1
0	4907677	686	0	1
11	1853253	332	980	1
-2	381531	60	1	1
18	1928332	192	149	0
5	298594	14	1273	2
0	544185	84	16591	1
-1	5515458	1966	0	1
3	28887	76	11	0
-3	1109013	501	9	0
4	492621	241	11	2
0	68389	14	130	1
1	402995	141	4211	0
0	3816990	1458	10095	1
-1	676811	36	96	1
-5	579096	109	84	0
0	4491754	582	10	1
129	512540	46	138	2
0	2929559	902	76390	1
0	573298	41	13007	1
0	2625384	235	0	1
5	413622	57	15	1
377	249525	13	33598	2
0	0	0		1
0	2053355	172	116629	1
0	1709338	87	1437	1
5	3989	4	3844	0
-36	3621976	1049	2797	0
0	1468704	155	1	1
-7	351102	49	7	0
65	69141	54	233	2
240	2832451	65	265065	2
110	297816	179	4390	0
7	39117	2	8940	2
-82	4515791	257	67	2
-1	616766	387	1	0
0	2097439	117	8	1
46	4004532	1498	1620	2
0	256286	83	5	1
2	636025	61	56	1
8	3941513	849	23	2
45	1124550	503	1272	2
4	921763	90	12930	0
0	4693160	658	204	0
54	612399	156	19235	1
6	30214	7	21142	1
0	129	15	8	1
14	1846221	98	2982	2
29	472533	95	8666	2
75	0	0		2
0	379801	39	18	1
3	125143	23	2823	1
83	2801308	303	182	1
86	757426	39	31705	0
